county_id,month_number,month_name,county,fahrenheit
34,3,March,Sacramento,54.2
34,4,April,Sacramento,63.3
34,5,May,Sacramento,63.5
34,6,June,Sacramento,75.2
34,7,July,Sacramento,77.2
34,8,August,Sacramento,78.5
34,9,September,Sacramento,72.3
34,10,October,Sacramento,63.7
34,11,November,Sacramento,56.6
34,12,December,Sacramento,50
35,1,January,San Benito,48.7
35,2,February,San Benito,42.8
35,3,March,San Benito,49.5
35,4,April,San Benito,58.5
35,5,May,San Benito,57.6
35,6,June,San Benito,69.9
35,7,July,San Benito,73.4
35,8,August,San Benito,74.9
35,9,September,San Benito,69.5
35,10,October,San Benito,61.5
35,11,November,San Benito,55.1
35,12,December,San Benito,47.6
36,1,January,San Bernardino,49
36,2,February,San Bernardino,45.3
36,3,March,San Bernardino,55.6
36,4,April,San Bernardino,66.4
36,5,May,San Bernardino,65.8
36,6,June,San Bernardino,81.7
36,7,July,San Bernardino,87.1
36,8,August,San Bernardino,87.6
36,9,September,San Bernardino,78.2
36,10,October,San Bernardino,65.3
36,11,November,San Bernardino,57.4
36,12,December,San Bernardino,46.9
37,1,January,San Diego,52.5
37,2,February,San Diego,47.5
37,3,March,San Diego,54.7
37,4,April,San Diego,61.4
37,5,May,San Diego,59.8
37,6,June,San Diego,70.3
37,7,July,San Diego,76.2
37,8,August,San Diego,77.6
37,9,September,San Diego,72.7
37,10,October,San Diego,65.4
37,11,November,San Diego,59.2
37,12,December,San Diego,51.7
38,1,January,San Francisco,53.1
38,2,February,San Francisco,48.5
38,3,March,San Francisco,53.4
38,4,April,San Francisco,57.6
38,5,May,San Francisco,56.5
38,6,June,San Francisco,62.8
38,7,July,San Francisco,62.5
38,8,August,San Francisco,65.9
38,9,September,San Francisco,65.5
38,10,October,San Francisco,61.6
38,11,November,San Francisco,55.6
38,12,December,San Francisco,52
39,1,January,San Joaquin,50.9
39,2,February,San Joaquin,47.7
39,3,March,San Joaquin,54.2
39,4,April,San Joaquin,63.6
39,5,May,San Joaquin,63.3
39,6,June,San Joaquin,75
39,7,July,San Joaquin,77.2
39,8,August,San Joaquin,78.4
39,9,September,San Joaquin,72.1
39,10,October,San Joaquin,63.7
39,11,November,San Joaquin,56.7
39,12,December,San Joaquin,50.3
40,1,January,San Luis,50.9
40,2,February,San Luis,45.1
40,3,March,San Luis,51.3
40,4,April,San Luis,59.3
40,5,May,San Luis,58.2
40,6,June,San Luis,68.9
40,7,July,San Luis,72.2
40,8,August,San Luis,73.6
40,9,September,San Luis,69.5
40,10,October,San Luis,62
40,11,November,San Luis,56.1
40,12,December,San Luis,49.9
41,1,January,San Mateo,52.4
41,2,February,San Mateo,47.4
41,3,March,San Mateo,52.2
41,4,April,San Mateo,57.2
41,5,May,San Mateo,57.1
41,6,June,San Mateo,63.8
41,7,July,San Mateo,64.4
41,8,August,San Mateo,67.3
41,9,September,San Mateo,66.1
41,10,October,San Mateo,61
41,11,November,San Mateo,54.6
41,12,December,San Mateo,51.4
42,1,January,Santa Barbara,51.7
42,2,February,Santa Barbara,45.6
42,3,March,Santa Barbara,51.8
42,4,April,Santa Barbara,57.8
42,5,May,Santa Barbara,57.3
42,6,June,Santa Barbara,65.6
42,7,July,Santa Barbara,69
42,8,August,Santa Barbara,70
42,9,September,Santa Barbara,69
42,10,October,Santa Barbara,61.7
42,11,November,Santa Barbara,56.1
42,12,December,Santa Barbara,50.7
43,1,January,Santa Clara,49.9
43,2,February,Santa Clara,44.2
43,3,March,Santa Clara,50.6
43,4,April,Santa Clara,58.4
43,5,May,Santa Clara,57.8
43,6,June,Santa Clara,68.1
43,7,July,Santa Clara,70.2
43,8,August,Santa Clara,72.4
43,9,September,Santa Clara,69
